index	loc	scaffold	locus	posit	target	dist	f1	f2	signif	select	parent	swap	new_signif
3165	CN_S001965M2968351	CN_S001965	CN_S001965M2968351	2968351	CN_S001965M3173532	17.5	0.0747863247863248	0.0328638497652582	213	small		NA	213
3166	CN_S001965M3067106	CN_S001965	CN_S001965M3067106	3067106	CN_S001965M3173532	30.5	0.13034188034188	0.0273224043715847	183	small		NA	183
3167	CN_S001965M3082433	CN_S001965	CN_S001965M3082433	3082433	CN_S001965M3173532	31	0.132478632478632	0.0274725274725275	182	small		NA	182
3168	CN_S001965M3173532	CN_S001965	CN_S001965M3173532	3173532	CN_S001965M3323223	10	0.0427350427350427	0.0136363636363636	220	small		NA	220
3169	CN_S001965M3231323	CN_S001965	CN_S001965M3231323	3231323	CN_S001965M3231331	9.5	0.0405982905982906	0	215	quasi-redundent	2777	no	232
3170	CN_S001965M3231331	CN_S001965	CN_S001965M3231331	3231331	CN_S001965M3231323	9.5	0.0405982905982906	0	215	chosen	10990	no	232
3171	CN_S001965M3321121	CN_S001965	CN_S001965M3321121	3321121	CN_S001965M3173532	16	0.0683760683760684	0.00490196078431373	204	small		NA	204
3172	CN_S001965M3323223	CN_S001965	CN_S001965M3323223	3323223	CN_S001965M3173532	10	0.0427350427350427	0.0136363636363636	220	small		NA	220
3173	CN_S001965M3323606	CN_S001965	CN_S001965M3323606	3323606	CN_S001965M3173532	14.5	0.061965811965812	0.014218009478673	211	small		NA	211
3174	CN_S001965M3458263	CN_S001965	CN_S001965M3458263	3458263	CN_S001965M3458272	13.5	0.0576923076923077	0	207	quasi-redundent	2782	no	222
3175	CN_S001965M3458272	CN_S001965	CN_S001965M3458272	3458272	CN_S001965M3458263	13.5	0.0576923076923077	0	207	chosen	10990	no	222
3176	CN_S001965M3465130	CN_S001965	CN_S001965M3465130	3465130	CN_S001965M3465143	15.5	0.0662393162393162	0	203	quasi-redundent	2784	no	222
3177	CN_S001965M3465143	CN_S001965	CN_S001965M3465143	3465143	CN_S001965M3465130	15.5	0.0662393162393162	0	203	chosen	10990	no	222
3178	CN_S001965M3465234	CN_S001965	CN_S001965M3465234	3465234	CN_S001965M3173532	14.5	0.061965811965812	0.0187793427230047	213	small		NA	213
3179	CN_S001965M3472618	CN_S001965	CN_S001965M3472618	3472618	CN_S001965M3173532	31	0.132478632478632	0.0425531914893617	188	small		NA	188
3180	CN_S001976M319339	CN_S001976	CN_S001976M319339	319339	CN_S001976M319399	18.5	0.0790598290598291	0	197	chosen	NA	yes	208
3181	CN_S001976M319399	CN_S001976	CN_S001976M319399	319399	CN_S001976M319339	18.5	0.0790598290598291	0	197	swaped	2787	yes	202
3182	CN_S001976M370791	CN_S001976	CN_S001976M370791	370791	CN_S001976M444414	21	0.0897435897435897	0.0247524752475248	202	small		NA	202
3183	CN_S001976M409626	CN_S001976	CN_S001976M409626	409626	CN_S001976M409660	9.5	0.0405982905982906	0	215	quasi-redundent	2791	no	233
3184	CN_S001976M409660	CN_S001976	CN_S001976M409660	409660	CN_S001976M409626	9.5	0.0405982905982906	0	215	chosen	10990	no	233
3185	CN_S001976M444414	CN_S001976	CN_S001976M444414	444414	CN_S001976M992434	20.5	0.0876068376068376	0.042654028436019	211	small		NA	211
3186	CN_S001976M556376	CN_S001976	CN_S001976M556376	556376	CN_S001976M444414	34.5	0.147435897435897	0.0285714285714286	175	small		NA	175
3187	CN_S001976M980586	CN_S001976	CN_S001976M980586	980586	CN_S001976M998486	34.5	0.147435897435897	0.0338983050847458	177	small		NA	177
3188	CN_S001976M992434	CN_S001976	CN_S001976M992434	992434	CN_S001976M998486	17.5	0.0747863247863248	0.028436018957346	211	small		NA	211
3189	CN_S001976M998486	CN_S001976	CN_S001976M998486	998486	CN_S001976M992434	17.5	0.0747863247863248	0.028436018957346	211	small		NA	211
3190	CN_S001976M1115080	CN_S001976	CN_S001976M1115080	1115080	CN_S001976M992434	21	0.0897435897435897	0.0151515151515152	198	small		NA	198
3191	CN_S001976M1251273	CN_S001976	CN_S001976M1251273	1251273	CN_S001976M992434	33	0.141025641025641	0.0116279069767442	172	small		NA	172
3192	CN_S001976M1254247	CN_S001976	CN_S001976M1254247	1254247	CN_S001976M998486	30.5	0.13034188034188	0.0374331550802139	187	small		NA	187
3193	CN_S001976M1348935	CN_S001976	CN_S001976M1348935	1348935	CN_S001976M992434	24	0.102564102564103	0.035	200	small		NA	200
3194	CN_S001981M88008	CN_S001981	CN_S001981M88008	88008	CN_S001981M619197	31.5	0.134615384615385	0.0327868852459016	183	small		NA	183
3195	CN_S001981M89049	CN_S001981	CN_S001981M89049	89049	CN_S001981M619197	22	0.094017094017094	0.0153061224489796	196	small		NA	196
3196	CN_S001981M115001	CN_S001981	CN_S001981M115001	115001	CN_S001981M619197	33.5	0.143162393162393	0.0228571428571429	175	small		NA	175
3197	CN_S001981M121136	CN_S001981	CN_S001981M121136	121136	CN_S001981M803205	32	0.136752136752137	0.0277777777777778	180	small		NA	180
3198	CN_S001981M219682	CN_S001981	CN_S001981M219682	219682	CN_S001981M619197	42.5	0.181623931623932	0.069364161849711	173	large		NA	173
3199	CN_S001981M239052	CN_S001981	CN_S001981M239052	239052	CN_S001981M803205	27.5	0.117521367521368	0.050251256281407	199	large		NA	199
3200	CN_S001981M609866	CN_S001981	CN_S001981M609866	609866	CN_S001981M619197	27.5	0.117521367521368	0.031413612565445	191	small		NA	191
3201	CN_S001981M619197	CN_S001981	CN_S001981M619197	619197	CN_S001981M803205	18.5	0.0790598290598291	0.0195121951219512	205	small		NA	205
3202	CN_S001981M803185	CN_S001981	CN_S001981M803185	803185	CN_S001981M803205	8.5	0.0363247863247863	0	217	quasi-redundent	2810	no	221
3203	CN_S001981M803205	CN_S001981	CN_S001981M803205	803205	CN_S001981M803185	8.5	0.0363247863247863	0	217	chosen	10990	no	221
3204	CN_S001986M43572	CN_S001986	CN_S001986M43572	43572	CN_S001986M116216	26	0.111111111111111	0.045	200	small		NA	200
3205	CN_S001986M116216	CN_S001986	CN_S001986M116216	116216	CN_S001986M43572	26	0.111111111111111	0.045	200	small		NA	200
3206	CN_S001986M156524	CN_S001986	CN_S001986M156524	156524	CN_S001986M43572	47.5	0.202991452991453	0.0628930817610063	159	large		NA	159
3207	CN_S001986M330530	CN_S001986	CN_S001986M330530	330530	CN_S001986M116216	37	0.158119658119658	0.0348837209302326	172	small		NA	172
3208	CN_S001994M47999	CN_S001994	CN_S001994M47999	47999	CN_S001994M103884	27	0.115384615384615	0.0263157894736842	190	small		NA	190
3209	CN_S001994M95803	CN_S001994	CN_S001994M95803	95803	CN_S001994M103884	24	0.102564102564103	0.0206185567010309	194	small		NA	194
3210	CN_S001994M103884	CN_S001994	CN_S001994M103884	103884	CN_S001994M95803	24	0.102564102564103	0.0206185567010309	194	small		NA	194
3211	CN_S001994M192281	CN_S001994	CN_S001994M192281	192281	CN_S001994M103884	26.5	0.113247863247863	0.0261780104712042	191	small		NA	191
3212	CN_S001994M192569	CN_S001994	CN_S001994M192569	192569	CN_S001994M103884	33	0.141025641025641	0.0483870967741935	186	small		NA	186
3213	CN_S001994M546347	CN_S001994	CN_S001994M546347	546347	CN_S001994M103884	28.5	0.121794871794872	0.0317460317460317	189	small		NA	189
3214	CN_S001999M235286	CN_S001999	CN_S001999M235286	235286	NA	NA	NA	NA	234	single		NA	234
3215	CN_S002005M89516	CN_S002005	CN_S002005M89516	89516	CN_S002005M89552	16.5	0.0705128205128205	0.00492610837438424	203	small		NA	203
3216	CN_S002005M89552	CN_S002005	CN_S002005M89552	89552	CN_S002005M89565	15.5	0.0662393162393162	0	203	quasi-redundent	2823	no	203
3217	CN_S002005M89565	CN_S002005	CN_S002005M89565	89565	CN_S002005M89552	15.5	0.0662393162393162	0	203	chosen	10990	no	203
3218	CN_S002005M89580	CN_S002005	CN_S002005M89580	89580	CN_S002005M89552	19	0.0811965811965812	0.00505050505050505	198	small		NA	198
3219	CN_S002005M180621	CN_S002005	CN_S002005M180621	180621	CN_S002005M429128	33.5	0.143162393162393	0.0582010582010582	189	large		NA	189
3220	CN_S002005M189836	CN_S002005	CN_S002005M189836	189836	CN_S002005M429128	40.5	0.173076923076923	0.0677966101694915	177	large		NA	177
3221	CN_S002005M189998	CN_S002005	CN_S002005M189998	189998	CN_S002005M588640	25	0.106837606837607	0.0533980582524272	206	large		NA	206
3222	CN_S002005M286239	CN_S002005	CN_S002005M286239	286239	CN_S002005M1734881	22	0.094017094017094	0.0343137254901961	204	small		NA	204
3223	CN_S002005M286263	CN_S002005	CN_S002005M286263	286263	CN_S002005M286239	34.5	0.147435897435897	0.0338983050847458	177	small		NA	177
3224	CN_S002005M429059	CN_S002005	CN_S002005M429059	429059	CN_S002005M429128	37	0.158119658119658	0.0402298850574713	174	small		NA	174
3225	CN_S002005M429128	CN_S002005	CN_S002005M429128	429128	CN_S002005M588640	21.5	0.0918803418803419	0.0341463414634146	205	small		NA	205
3226	CN_S002005M588640	CN_S002005	CN_S002005M588640	588640	CN_S002005M588644	5	0.0213675213675214	0	224	quasi-redundent	2833	no	227
3227	CN_S002005M588644	CN_S002005	CN_S002005M588644	588644	CN_S002005M588640	5	0.0213675213675214	0	224	chosen	10990	no	227
3228	CN_S002005M588651	CN_S002005	CN_S002005M588651	588651	CN_S002005M588640	7	0.0299145299145299	0	220	quasi-redundent	2833	no	227
3229	CN_S002005M669276	CN_S002005	CN_S002005M669276	669276	CN_S002005M588640	34	0.145299145299145	0.0388888888888889	180	small		NA	180
3230	CN_S002005M670450	CN_S002005	CN_S002005M670450	670450	CN_S002005M1734881	29	0.123931623931624	0.0217391304347826	184	small		NA	184
3231	CN_S002005M752744	CN_S002005	CN_S002005M752744	752744	CN_S002005M752764	27	0.115384615384615	0	180	quasi-redundent	2838	no	215
3232	CN_S002005M752764	CN_S002005	CN_S002005M752764	752764	CN_S002005M752744	27	0.115384615384615	0	180	chosen	10990	no	215
3233	CN_S002005M1517144	CN_S002005	CN_S002005M1517144	1517144	CN_S002005M1734881	26	0.111111111111111	0.0495049504950495	202	small		NA	202
3234	CN_S002005M1734881	CN_S002005	CN_S002005M1734881	1734881	CN_S002005M1734903	9.5	0.0405982905982906	0	215	quasi-redundent	2841	no	226
3235	CN_S002005M1734903	CN_S002005	CN_S002005M1734903	1734903	CN_S002005M1734881	9.5	0.0405982905982906	0	215	chosen	10990	no	226
3236	CN_S002005M1735570	CN_S002005	CN_S002005M1735570	1735570	CN_S002005M1735584	11	0.047008547008547	0	212	quasi-redundent	2843	no	228
3237	CN_S002005M1735584	CN_S002005	CN_S002005M1735584	1735584	CN_S002005M1735570	11	0.047008547008547	0	212	chosen	10990	no	228
3238	CN_S002005M1872983	CN_S002005	CN_S002005M1872983	1872983	CN_S002005M1734881	35	0.14957264957265	0.028735632183908	174	small		NA	174
3239	CN_S002005M1873802	CN_S002005	CN_S002005M1873802	1873802	CN_S002005M588640	37.5	0.16025641025641	0.0508474576271186	177	large		NA	177
3240	CN_S002005M1879359	CN_S002005	CN_S002005M1879359	1879359	CN_S002005M1734881	38	0.162393162393162	0.0297619047619048	168	small		NA	168
3241	CN_S002005M1998195	CN_S002005	CN_S002005M1998195	1998195	CN_S002005M1734881	39	0.166666666666667	0.0568181818181818	176	large		NA	176
3242	CN_S002005M2912916	CN_S002005	CN_S002005M2912916	2912916	CN_S002005M3348689	15.5	0.0662393162393162	0.0234741784037559	213	small		NA	213
3243	CN_S002005M2925759	CN_S002005	CN_S002005M2925759	2925759	CN_S002005M2912916	28.5	0.121794871794872	0.0267379679144385	187	small		NA	187
3244	CN_S002005M3143483	CN_S002005	CN_S002005M3143483	3143483	CN_S002005M3348689	25.5	0.108974358974359	0.0209424083769634	191	small		NA	191
3245	CN_S002005M3348689	CN_S002005	CN_S002005M3348689	3348689	CN_S002005M3574187	14.5	0.061965811965812	0.0232558139534884	215	small		NA	215
3246	CN_S002005M3414303	CN_S002005	CN_S002005M3414303	3414303	CN_S002005M3414354	11	0.047008547008547	0	212	quasi-redundent	2853	no	228
3247	CN_S002005M3414354	CN_S002005	CN_S002005M3414354	3414354	CN_S002005M3414303	11	0.047008547008547	0	212	chosen	10990	no	228
3248	CN_S002005M3574187	CN_S002005	CN_S002005M3574187	3574187	CN_S002005M3348689	14.5	0.061965811965812	0.0232558139534884	215	small		NA	215
3249	CN_S002007M685160	CN_S002007	CN_S002007M685160	685160	NA	NA	NA	NA	234	single		NA	234
3250	CN_S002023M61648	CN_S002023	CN_S002023M61648	61648	CN_S002023M874635	25	0.106837606837607	0.0208333333333333	192	small		NA	192
3251	CN_S002023M278577	CN_S002023	CN_S002023M278577	278577	CN_S002023M391353	33.5	0.143162393162393	0.0386740331491713	181	small		NA	181
3252	CN_S002023M333728	CN_S002023	CN_S002023M333728	333728	CN_S002023M366736	20.5	0.0876068376068376	0.0382775119617225	209	small		NA	209
3253	CN_S002023M355279	CN_S002023	CN_S002023M355279	355279	CN_S002023M366736	28	0.11965811965812	0.0505050505050505	198	large		NA	198
3254	CN_S002023M366726	CN_S002023	CN_S002023M366726	366726	CN_S002023M366736	11.5	0.0491452991452991	0.00469483568075117	213	small		NA	213
3255	CN_S002023M366736	CN_S002023	CN_S002023M366736	366736	CN_S002023M366737	10	0.0427350427350427	0	214	quasi-redundent	2861	no	227
3256	CN_S002023M366737	CN_S002023	CN_S002023M366737	366737	CN_S002023M366736	10	0.0427350427350427	0	214	chosen	10990	no	227
3257	CN_S002023M366798	CN_S002023	CN_S002023M366798	366798	CN_S002023M391353	20.5	0.0876068376068376	0.0150753768844221	199	small		NA	199
3258	CN_S002023M378384	CN_S002023	CN_S002023M378384	378384	CN_S002023M378425	26.5	0.113247863247863	0	181	quasi-redundent	2864	no	222
3259	CN_S002023M378425	CN_S002023	CN_S002023M378425	378425	CN_S002023M378384	26.5	0.113247863247863	0	181	chosen	10990	no	222
3260	CN_S002023M388634	CN_S002023	CN_S002023M388634	388634	CN_S002023M388677	8.5	0.0363247863247863	0	217	quasi-redundent	2866	no	225
3261	CN_S002023M388677	CN_S002023	CN_S002023M388677	388677	CN_S002023M388634	8.5	0.0363247863247863	0	217	chosen	10990	no	225
3262	CN_S002023M391353	CN_S002023	CN_S002023M391353	391353	CN_S002023M391381	6.5	0.0277777777777778	0	221	quasi-redundent	2868	no	230
3263	CN_S002023M391381	CN_S002023	CN_S002023M391381	391381	CN_S002023M391353	6.5	0.0277777777777778	0	221	chosen	10990	no	230
3264	CN_S002023M391701	CN_S002023	CN_S002023M391701	391701	CN_S002023M388634	22	0.094017094017094	0.0202020202020202	198	small		NA	198
3265	CN_S002023M392453	CN_S002023	CN_S002023M392453	392453	CN_S002023M366736	40.5	0.173076923076923	0.0419161676646707	167	small		NA	167
3266	CN_S002023M414417	CN_S002023	CN_S002023M414417	414417	CN_S002023M391353	20.5	0.0876068376068376	0.0338164251207729	207	small		NA	207
3267	CN_S002023M421643	CN_S002023	CN_S002023M421643	421643	CN_S002023M388634	24	0.102564102564103	0.0255102040816327	196	small		NA	196
3268	CN_S002023M421707	CN_S002023	CN_S002023M421707	421707	CN_S002023M333728	40.5	0.173076923076923	0.0419161676646707	167	small		NA	167
3269	CN_S002023M518068	CN_S002023	CN_S002023M518068	518068	CN_S002023M518069	25.5	0.108974358974359	0	183	quasi-redundent	2875	no	224
3270	CN_S002023M518069	CN_S002023	CN_S002023M518069	518069	CN_S002023M518068	25.5	0.108974358974359	0	183	chosen	10990	no	224
3271	CN_S002023M518119	CN_S002023	CN_S002023M518119	518119	CN_S002023M518068	25.5	0.108974358974359	0	183	quasi-redundent	2875	no	224
3272	CN_S002023M874635	CN_S002023	CN_S002023M874635	874635	CN_S002023M366736	22.5	0.0961538461538462	0.0390243902439024	205	small		NA	205
3273	CN_S002023M1021238	CN_S002023	CN_S002023M1021238	1021238	CN_S002023M874635	36.5	0.155982905982906	0.04	175	small		NA	175
3274	CN_S002023M1035021	CN_S002023	CN_S002023M1035021	1035021	CN_S002023M874635	29	0.123931623931624	0.0416666666666667	192	small		NA	192
3275	CN_S002026M14983	CN_S002026	CN_S002026M14983	14983	CN_S002026M206472	39.5	0.168803418803419	0.0303030303030303	165	small		NA	165
3276	CN_S002026M206472	CN_S002026	CN_S002026M206472	206472	CN_S002026M14983	39.5	0.168803418803419	0.0303030303030303	165	small		NA	165
3277	CN_S002034M101618	CN_S002034	CN_S002034M101618	101618	CN_S002034M101668	12.5	0.0534188034188034	0	209	quasi-redundent	2882	no	209
3278	CN_S002034M101656	CN_S002034	CN_S002034M101656	101656	CN_S002034M101618	98.5	0.420940170940171	0.4	185	outlier		NA	185
3279	CN_S002034M101668	CN_S002034	CN_S002034M101668	101668	CN_S002034M101618	12.5	0.0534188034188034	0	209	chosen	10990	no	209
3280	CN_S002036M29300	CN_S002036	CN_S002036M29300	29300	CN_S002036M145786	28.5	0.121794871794872	0.0461538461538462	195	small		NA	195
3281	CN_S002036M145786	CN_S002036	CN_S002036M145786	145786	CN_S002036M29300	28.5	0.121794871794872	0.0461538461538462	195	small		NA	195
3282	CN_S002036M190805	CN_S002036	CN_S002036M190805	190805	CN_S002036M658775	30	0.128205128205128	0.0515463917525773	194	large		NA	194
3283	CN_S002036M211762	CN_S002036	CN_S002036M211762	211762	CN_S002036M29300	29	0.123931623931624	0.0319148936170213	188	small		NA	188
3284	CN_S002036M658775	CN_S002036	CN_S002036M658775	658775	CN_S002036M211762	29.5	0.126068376068376	0.0320855614973262	187	small		NA	187
3285	CN_S002052M98012	CN_S002052	CN_S002052M98012	98012	CN_S002052M409832	11	0.047008547008547	0.0225225225225225	222	small		NA	222
3286	CN_S002052M123645	CN_S002052	CN_S002052M123645	123645	CN_S002052M98012	23	0.0982905982905983	0.0392156862745098	204	small		NA	204
3287	CN_S002052M179036	CN_S002052	CN_S002052M179036	179036	CN_S002052M409832	15.5	0.0662393162393162	0.018957345971564	211	small		NA	211
3288	CN_S002052M221562	CN_S002052	CN_S002052M221562	221562	CN_S002052M179036	31.5	0.134615384615385	0.0276243093922652	181	small		NA	181
3289	CN_S002052M361742	CN_S002052	CN_S002052M361742	361742	CN_S002052M409832	37	0.158119658119658	0.0121951219512195	164	small		NA	164
3290	CN_S002052M362647	CN_S002052	CN_S002052M362647	362647	CN_S002052M362653	12	0.0512820512820513	0	210	quasi-redundent	2894	no	228
3291	CN_S002052M362653	CN_S002052	CN_S002052M362653	362653	CN_S002052M362647	12	0.0512820512820513	0	210	chosen	10990	no	228
3292	CN_S002052M362725	CN_S002052	CN_S002052M362725	362725	CN_S002052M362757	8.5	0.0363247863247863	0	217	quasi-redundent	2896	no	228
3293	CN_S002052M362757	CN_S002052	CN_S002052M362757	362757	CN_S002052M362725	8.5	0.0363247863247863	0	217	chosen	10990	no	228
3294	CN_S002052M409832	CN_S002052	CN_S002052M409832	409832	CN_S002052M98012	11	0.047008547008547	0.0225225225225225	222	small		NA	222
3295	CN_S002052M456066	CN_S002052	CN_S002052M456066	456066	CN_S002052M409832	17.5	0.0747863247863248	0.0193236714975845	207	small		NA	207
3296	CN_S002052M457910	CN_S002052	CN_S002052M457910	457910	CN_S002052M409832	21	0.0897435897435897	0.0384615384615385	208	small		NA	208
3297	CN_S002052M463202	CN_S002052	CN_S002052M463202	463202	CN_S002052M409832	11	0.047008547008547	0.0137614678899083	218	small		NA	218
3298	CN_S002052M491146	CN_S002052	CN_S002052M491146	491146	CN_S002052M409832	22.5	0.0961538461538462	0.00523560209424084	191	small		NA	191
3299	CN_S002052M575741	CN_S002052	CN_S002052M575741	575741	CN_S002052M575742	10.5	0.0448717948717949	0	213	quasi-redundent	2903	no	223
3300	CN_S002052M575742	CN_S002052	CN_S002052M575742	575742	CN_S002052M575741	10.5	0.0448717948717949	0	213	chosen	10990	no	223
3301	CN_S002052M575786	CN_S002052	CN_S002052M575786	575786	CN_S002052M575742	15	0.0641025641025641	0	204	quasi-redundent	2903	no	219
3302	CN_S002052M680313	CN_S002052	CN_S002052M680313	680313	CN_S002052M851500	40	0.170940170940171	0.0860215053763441	186	large		NA	186
3303	CN_S002052M714167	CN_S002052	CN_S002052M714167	714167	CN_S002052M463202	31	0.132478632478632	0.0326086956521739	184	small		NA	184
3304	CN_S002052M727432	CN_S002052	CN_S002052M727432	727432	CN_S002052M463202	17	0.0726495726495727	0.0238095238095238	210	small		NA	210
3305	CN_S002052M729128	CN_S002052	CN_S002052M729128	729128	CN_S002052M463202	22	0.094017094017094	0.025	200	small		NA	200
3306	CN_S002052M769437	CN_S002052	CN_S002052M769437	769437	CN_S002052M727432	30	0.128205128205128	0.0271739130434783	184	small		NA	184
3307	CN_S002052M770788	CN_S002052	CN_S002052M770788	770788	CN_S002052M851500	42	0.179487179487179	0.063953488372093	172	large		NA	172
3308	CN_S002052M838700	CN_S002052	CN_S002052M838700	838700	CN_S002052M409832	19.5	0.0833333333333333	0.0334928229665072	209	small		NA	209
3309	CN_S002052M851500	CN_S002052	CN_S002052M851500	851500	CN_S002052M409832	11.5	0.0491452991452991	0.0182648401826484	219	small		NA	219
3310	CN_S002052M877292	CN_S002052	CN_S002052M877292	877292	CN_S002052M409832	32	0.136752136752137	0.0572916666666667	192	large		NA	192
3311	CN_S002052M965623	CN_S002052	CN_S002052M965623	965623	CN_S002052M409832	23.5	0.10042735042735	0.0205128205128205	195	small		NA	195
3312	CN_S002052M1254047	CN_S002052	CN_S002052M1254047	1254047	CN_S002052M851500	29	0.123931623931624	0.0164835164835165	182	small		NA	182
3313	CN_S002052M1536332	CN_S002052	CN_S002052M1536332	1536332	CN_S002052M2005942	19	0.0811965811965812	0.0242718446601942	206	small		NA	206
3314	CN_S002052M1598100	CN_S002052	CN_S002052M1598100	1598100	CN_S002052M1598106	26	0.111111111111111	0	182	quasi-redundent	2918	no	217
3315	CN_S002052M1598106	CN_S002052	CN_S002052M1598106	1598106	CN_S002052M1598100	26	0.111111111111111	0	182	chosen	10990	no	217
3316	CN_S002052M1617669	CN_S002052	CN_S002052M1617669	1617669	CN_S002052M2005942	44.5	0.19017094017094	0.0382165605095541	157	small		NA	157
3317	CN_S002052M1629044	CN_S002052	CN_S002052M1629044	1629044	CN_S002052M1629046	30.5	0.13034188034188	0	173	quasi-redundent	2921	no	211
3318	CN_S002052M1629046	CN_S002052	CN_S002052M1629046	1629046	CN_S002052M1629044	30.5	0.13034188034188	0	173	chosen	10990	no	211
3319	CN_S002052M1662155	CN_S002052	CN_S002052M1662155	1662155	CN_S002052M1536332	24.5	0.104700854700855	0.0351758793969849	199	small		NA	199
3320	CN_S002052M1698067	CN_S002052	CN_S002052M1698067	1698067	CN_S002052M851500	24	0.102564102564103	0.0485436893203883	206	small		NA	206
3321	CN_S002052M1713452	CN_S002052	CN_S002052M1713452	1713452	CN_S002052M1536332	36.5	0.155982905982906	0.0346820809248555	173	small		NA	173
3322	CN_S002052M1792829	CN_S002052	CN_S002052M1792829	1792829	CN_S002052M1536332	31.5	0.134615384615385	0.0276243093922652	181	small		NA	181
3323	CN_S002052M1808640	CN_S002052	CN_S002052M1808640	1808640	CN_S002052M851500	30	0.128205128205128	0.032258064516129	186	small		NA	186
3324	CN_S002052M1818779	CN_S002052	CN_S002052M1818779	1818779	CN_S002052M1818818	16.5	0.0705128205128205	0	201	quasi-redundent	2928	no	223
3325	CN_S002052M1818818	CN_S002052	CN_S002052M1818818	1818818	CN_S002052M1818779	16.5	0.0705128205128205	0	201	chosen	10990	no	223
3326	CN_S002052M1881195	CN_S002052	CN_S002052M1881195	1881195	CN_S002052M1536332	21.5	0.0918803418803419	0.0341463414634146	205	small		NA	205
3327	CN_S002052M1957423	CN_S002052	CN_S002052M1957423	1957423	CN_S002052M2005942	25.5	0.108974358974359	0.0402010050251256	199	small		NA	199
3328	CN_S002052M2005942	CN_S002052	CN_S002052M2005942	2005942	CN_S002052M1536332	19	0.0811965811965812	0.0242718446601942	206	small		NA	206
3329	CN_S002052M2092494	CN_S002052	CN_S002052M2092494	2092494	CN_S002052M1536332	23.5	0.10042735042735	0.0253807106598985	197	small		NA	197
3330	CN_S002052M2154763	CN_S002052	CN_S002052M2154763	2154763	CN_S002052M1536332	30	0.128205128205128	0.021978021978022	182	small		NA	182
3331	CN_S002052M2163829	CN_S002052	CN_S002052M2163829	2163829	CN_S002052M2163836	30.5	0.13034188034188	0	173	quasi-redundent	2935	no	197
3332	CN_S002052M2163836	CN_S002052	CN_S002052M2163836	2163836	CN_S002052M2163829	30.5	0.13034188034188	0	173	chosen	10990	no	197
3333	CN_S002052M2170999	CN_S002052	CN_S002052M2170999	2170999	CN_S002052M2171002	27	0.115384615384615	0.0108695652173913	184	small		NA	184
3334	CN_S002052M2171002	CN_S002052	CN_S002052M2171002	2171002	CN_S002052M2170999	27	0.115384615384615	0.0108695652173913	184	small		NA	184
3335	CN_S002052M2279241	CN_S002052	CN_S002052M2279241	2279241	CN_S002052M2333514	46	0.196581196581197	0.0448717948717949	156	small		NA	156
3336	CN_S002052M2279317	CN_S002052	CN_S002052M2279317	2279317	CN_S002052M2333514	32.5	0.138888888888889	0.0432432432432432	185	small		NA	185
3337	CN_S002052M2333514	CN_S002052	CN_S002052M2333514	2333514	CN_S002052M1536332	21	0.0897435897435897	0.0339805825242718	206	small		NA	206
3338	CN_S002052M2365247	CN_S002052	CN_S002052M2365247	2365247	CN_S002052M2333514	22.5	0.0961538461538462	0.0203045685279188	197	small		NA	197
3339	CN_S002052M2607712	CN_S002052	CN_S002052M2607712	2607712	CN_S002052M1536332	51	0.217948717948718	0.0875	160	large		NA	160
3340	CN_S002052M2611125	CN_S002052	CN_S002052M2611125	2611125	CN_S002052M2333514	46	0.196581196581197	0.038961038961039	154	small		NA	154
3341	CN_S002052M2615477	CN_S002052	CN_S002052M2615477	2615477	CN_S002052M2333514	33	0.141025641025641	0.0172413793103448	174	small		NA	174
3342	CN_S002052M2617099	CN_S002052	CN_S002052M2617099	2617099	CN_S002052M2333514	24	0.102564102564103	0.0303030303030303	198	small		NA	198
3343	CN_S002052M2709133	CN_S002052	CN_S002052M2709133	2709133	CN_S002052M2005942	19.5	0.0833333333333333	0.0334928229665072	209	small		NA	209
3344	CN_S002052M2787271	CN_S002052	CN_S002052M2787271	2787271	CN_S002052M2709133	27	0.115384615384615	0.03125	192	small		NA	192
3345	CN_S002052M2808013	CN_S002052	CN_S002052M2808013	2808013	CN_S002052M2092494	39.5	0.168803418803419	0.0359281437125748	167	small		NA	167
3346	CN_S002052M2871094	CN_S002052	CN_S002052M2871094	2871094	CN_S002052M2709133	40	0.170940170940171	0.0625	176	large		NA	176
3347	CN_S002053M21364	CN_S002053	CN_S002053M21364	21364	CN_S002053M21380	26	0.111111111111111	0	182	quasi-redundent	2951	no	182
3348	CN_S002053M21380	CN_S002053	CN_S002053M21380	21380	CN_S002053M21364	26	0.111111111111111	0	182	chosen	10990	no	182
3349	CN_S002053M23853	CN_S002053	CN_S002053M23853	23853	CN_S002053M184933	15.5	0.0662393162393162	0.0143540669856459	209	small		NA	209
3350	CN_S002053M86211	CN_S002053	CN_S002053M86211	86211	CN_S002053M86252	8.5	0.0363247863247863	0	217	quasi-redundent	2955	no	217
3351	CN_S002053M86245	CN_S002053	CN_S002053M86245	86245	CN_S002053M86211	10	0.0427350427350427	0	214	quasi-redundent	2955	no	217
3352	CN_S002053M86252	CN_S002053	CN_S002053M86252	86252	CN_S002053M86211	8.5	0.0363247863247863	0	217	chosen	10990	no	217
3353	CN_S002053M86258	CN_S002053	CN_S002053M86258	86258	CN_S002053M86211	12.5	0.0534188034188034	0	209	quasi-redundent	2955	no	217
3354	CN_S002053M86270	CN_S002053	CN_S002053M86270	86270	CN_S002053M86211	8.5	0.0363247863247863	0	217	quasi-redundent	2955	no	217
